"Invoice #";"Issue Date";"Amount";"Status";"Guest ID"
"2026/0058";"8/23/2026";"93.50";"Issued";"bbd39e9f-0cd0-44f4-a999-e992d2e548a9"
"2026/0059";"8/23/2026";"187.00";"Issued";"b0f014e3-f037-4390-87d7-a126fc81bfd7"
"2026/0067";"8/24/2026";"93.50";"Issued";"d29cc351-9035-4182-91f4-38552859837e"
"2026/0060";"8/23/2026";"96.00";"Issued";"9f76a6ec-6300-4a18-b815-9ef956cfe10a"
"2026/0063";"8/23/2026";"93.50";"Paid";"b02757b0-15f2-42a1-ae5c-a13a24ca46f6"
"2026/0065";"8/24/2026";"93.50";"Paid";"d1cdbffc-de9b-486e-b5f7-06aa5fd31990"
"2026/0073";"8/24/2026";"96.00";"Issued";"47556565-77ab-4c77-95e8-ec41591a98bb"
"2026/0068";"8/24/2026";"93.50";"Issued";"73fef417-4915-4274-8e9b-5cc489a2de23"
"2026/0066";"8/24/2026";"93.50";"Paid";"30909b9d-b30c-4272-b4b9-7d015cedabb2"
"2026/0070";"8/24/2026";"93.50";"Issued";"e080a02f-bcdc-4e92-80b1-77948a4b627a"
"2026/0069";"8/24/2026";"93.50";"Paid";"573e0e25-6a2e-4d16-a0ab-623d7e0086b1"
"2026/0072";"8/24/2026";"187.00";"Issued";"03a0ebff-dbbe-4c18-ae47-4e43c2014ba0"
"2026/0071";"8/24/2026";"187.00";"Issued";"934cefd8-cdbc-40d5-aa81-e94d076aa355"
"2026/0074";"8/24/2026";"93.50";"Issued";"55b2eecb-5072-46c2-bd70-fbaf01d96792"
"2026/0075";"8/24/2026";"93.50";"Paid";"aee19e93-1c0c-4227-ba9b-33c09ce5b7df"
"2026/0076";"8/24/2026";"93.50";"Issued";"bcc74103-1195-4197-8a66-d2242e22a636"
